Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
101,2,,0,2,2,0,2,102,2017,10,16,1,0.0,0,0,101.5,0.0,1
102,2,0.0,1,1,1,0,2,42,2018,10,31,1,0.0,0,0,118.5,1.0,2
103,2,0.0,1,4,1,0,1,39,2018,2,15,1,0.0,0,0,98.1,1.0,2
104,1,0.0,1,2,1,0,2,56,2018,11,11,1,0.0,0,0,100.67,1.0,1
105,3,0.0,2,1,1,0,1,29,2018,8,28,1,0.0,0,0,150.17,3.0,2
106,2,,1,3,2,0,2,210,2017,10,8,1,0.0,0,0,86.0,0.0,1
107,2,0.0,2,0,1,0,4,48,2018,9,4,1,0.0,0,0,109.8,1.0,2
108,1,,0,3,1,0,2,37,2018,10,13,2,0.0,0,0,95.0,0.0,2
109,2,0.0,0,3,1,0,2,111,2018,6,1,2,0.0,0,0,96.67,0.0,2
110,2,0.0,2,1,2,0,2,145,2017,8,29,2,0.0,0,0,94.5,0.0,2
111,1,0.0,0,3,1,0,1,11,2018,6,14,3,0.0,0,0,90.0,0.0,2
112,2,,0,1,3,0,2,50,2018,4,2,1,0.0,0,0,80.1,0.0,1
113,2,0.0,1,0,3,0,2,1,2018,6,27,1,0.0,0,0,127.0,1.0,2
114,2,0.0,1,1,1,0,2,275,2018,6,4,2,0.0,0,0,62.8,0.0,1
115,1,0.0,0,2,1,0,2,14,2018,5,31,1,0.0,0,0,97.75,1.0,2
116,2,0.0,1,2,1,0,2,203,2018,8,26,2,0.0,0,0,72.25,0.0,2
117,2,0.0,1,0,1,1,1,168,2018,5,29,1,0.0,0,0,132.3,3.0,2
118,2,0.0,0,2,2,0,2,320,2018,8,18,1,,0,0,115.0,1.0,1
119,1,0.0,0,2,1,0,2,22,2017,9,3,1,0.0,0,0,95.0,2.0,2
120,2,0.0,0,4,1,0,1,47,2018,4,12,1,0.0,0,0,114.33,1.0,2
121,2,0.0,0,3,1,0,2,97,2017,9,3,1,0.0,0,0,89.25,0.0,2
122,2,0.0,1,2,1,0,2,193,2018,6,20,1,0.0,0,0,120.0,0.0,1
123,2,0.0,2,2,1,0,2,10,2018,2,13,2,0.0,0,0,85.0,0.0,2
124,2,,1,3,1,0,2,69,2018,11,17,1,0.0,0,0,92.23,1.0,2
125,1,0.0,0,3,1,0,2,71,2018,6,14,2,0.0,0,0,120.0,0.0,2
126,2,0.0,0,2,1,0,2,67,2018,1,29,2,0.0,0,0,57.0,0.0,2
127,2,0.0,1,2,1,0,1,10,2017,10,2,1,,0,0,186.67,2.0,2
128,2,0.0,0,3,1,0,2,5,2017,10,6,1,0.0,0,0,151.33,0.0,2
129,2,0.0,1,2,1,0,2,67,2018,12,2,2,0.0,0,0,75.0,0.0,2
130,2,1.0,2,0,3,0,2,91,2018,8,21,1,0.0,0,0,107.1,1.0,2
131,2,0.0,1,2,1,0,2,48,2018,10,21,2,0.0,0,0,85.5,1.0,2
132,2,0.0,2,6,1,0,2,47,2018,12,2,1,0.0,0,0,88.4,,2
133,2,2.0,1,3,1,0,3,30,2018,12,22,1,0.0,0,0,156.9,0.0,2
134,3,0.0,0,3,1,0,2,133,2018,7,12,1,0.0,0,0,137.7,2.0,2
135,2,,0,1,2,0,2,219,2017,9,4,1,0.0,0,0,108.0,0.0,1
136,3,0.0,1,4,1,0,5,26,2018,9,28,1,0.0,0,0,169.52,,1
137,3,0.0,2,3,2,0,2,165,2018,8,19,1,0.0,0,0,180.2,0.0,1
138,2,,2,5,2,0,3,71,2018,4,3,1,0.0,0,0,203.76,0.0,1
139,1,0.0,0,1,1,0,2,2,2018,1,27,4,1.0,2,0,0.0,3.0,2
140,2,0.0,1,0,3,0,2,121,2018,5,2,1,0.0,0,0,129.0,1.0,2
141,2,0.0,1,1,1,0,2,49,2018,7,23,1,0.0,0,0,135.9,1.0,2
142,2,2.0,2,2,1,0,3,12,2018,10,29,1,0.0,0,0,202.88,1.0,1
143,2,0.0,2,1,1,0,1,73,2018,4,3,1,,0,0,96.3,0.0,1
144,1,0.0,0,1,1,0,6,3,2018,5,19,3,1.0,0,2,159.0,0.0,2
145,2,0.0,1,0,3,0,2,1,2017,8,9,1,,0,0,98.0,0.0,2
146,2,0.0,1,4,1,0,1,25,2018,12,7,1,0.0,0,0,96.9,,2
147,1,0.0,0,1,1,0,2,0,2018,11,19,4,0.0,0,0,0.0,0.0,2
148,2,0.0,0,3,1,0,2,5,2017,9,8,1,0.0,0,0,105.0,0.0,2
149,1,,0,3,1,0,2,151,2018,1,19,2,0.0,0,0,71.0,0.0,2
150,1,0.0,0,1,1,0,2,25,2018,12,27,2,0.0,0,0,65.0,,2
151,2,0.0,0,3,3,0,2,52,2018,12,7,1,,0,0,79.2,2.0,2
152,2,0.0,0,3,1,0,4,222,2018,9,14,1,0.0,0,0,116.1,,1
153,2,0.0,1,2,1,0,2,1,2017,9,14,2,0.0,0,0,90.0,0.0,2
154,2,0.0,0,5,1,0,2,254,2018,10,25,1,0.0,0,0,90.95,0.0,1
155,2,0.0,2,1,1,0,2,12,2018,1,2,2,0.0,0,0,82.0,0.0,2
156,2,2.0,1,0,1,0,3,10,2017,8,23,1,0.0,0,0,153.0,,2
157,2,0.0,0,2,1,0,2,115,2018,7,8,1,0.0,0,0,114.3,0.0,1
158,1,0.0,2,5,1,0,2,253,2017,9,12,1,0.0,0,0,80.75,2.0,2
159,2,0.0,2,5,1,0,1,31,2018,6,17,2,0.0,0,0,96.3,0.0,2
160,1,0.0,0,2,1,0,2,1,2018,6,7,1,0.0,0,0,115.0,1.0,2
161,1,0.0,2,1,1,0,2,116,2018,2,28,2,0.0,0,0,76.0,0.0,2
162,1,0.0,2,2,1,0,2,20,2018,9,18,2,0.0,0,0,90.0,0.0,1
163,2,0.0,1,0,3,0,2,29,2018,10,16,1,0.0,0,0,119.0,1.0,2
164,2,1.0,2,0,1,0,2,11,2018,5,22,1,0.0,0,0,159.0,3.0,2
165,1,0.0,2,4,3,0,2,42,2018,11,30,1,0.0,0,0,48.5,1.0,2
166,2,0.0,0,4,1,0,2,36,2018,10,26,1,0.0,0,0,129.0,1.0,1
167,2,0.0,2,3,1,0,2,256,2018,10,23,1,0.0,0,0,94.35,2.0,1
168,2,0.0,2,1,2,0,2,23,2018,1,2,2,0.0,0,0,109.0,0.0,2
169,1,0.0,0,3,1,0,2,113,2018,5,31,3,0.0,0,0,100.0,0.0,1
170,2,0.0,0,2,2,0,2,320,2018,8,18,1,0.0,0,0,115.0,1.0,1
171,2,0.0,0,1,1,1,2,60,2018,10,11,1,0.0,0,0,127.8,1.0,2
172,2,,0,2,1,0,2,14,2018,7,21,3,0.0,0,0,105.0,0.0,1
173,2,0.0,1,3,3,0,2,6,2018,12,15,1,0.0,0,0,66.3,0.0,2
174,2,0.0,1,1,1,0,1,87,2018,4,9,1,0.0,0,0,105.3,0.0,1
175,1,0.0,0,1,1,0,2,21,2018,2,17,1,0.0,0,0,85.0,1.0,2
176,2,0.0,0,3,1,0,2,271,2018,9,21,1,0.0,0,0,101.33,1.0,1
177,2,0.0,2,0,1,0,2,10,2017,12,27,2,0.0,0,0,52.0,1.0,2
178,1,0.0,0,1,1,0,2,8,2018,10,6,3,,0,1,65.0,1.0,2
179,2,0.0,0,3,1,0,2,11,2017,9,9,1,0.0,0,0,80.85,1.0,2
180,2,0.0,0,3,2,0,2,90,2018,7,13,2,0.0,0,0,102.25,1.0,2
181,1,0.0,1,2,1,0,2,219,2017,9,4,2,,0,0,76.67,0.0,2
182,2,,2,1,3,0,2,35,2018,5,22,1,0.0,0,0,98.1,0.0,1
183,2,0.0,0,2,3,0,2,142,2018,12,22,1,0.0,0,0,79.2,1.0,2
184,2,2.0,0,2,1,0,3,204,2018,10,7,1,0.0,0,0,180.9,1.0,1
185,2,0.0,1,0,2,0,5,8,2018,6,19,4,1.0,0,1,0.0,1.0,2
186,2,0.0,0,1,3,0,2,10,2018,9,3,1,0.0,0,0,129.0,0.0,1
187,2,0.0,2,1,2,0,2,110,2017,7,25,2,0.0,0,0,94.5,0.0,1
188,2,0.0,1,1,3,0,2,120,2018,7,18,1,0.0,0,0,94.5,0.0,2
189,1,0.0,2,4,1,0,2,16,2018,11,20,3,0.0,0,0,79.75,0.0,2
190,2,0.0,2,3,2,0,2,53,2018,5,21,2,0.0,0,0,131.52,,2
191,2,0.0,1,4,2,0,2,129,2018,7,25,1,0.0,0,0,131.75,0.0,1
192,1,0.0,0,1,3,0,2,36,2018,12,22,1,0.0,0,0,77.99,1.0,2
193,2,0.0,0,3,1,0,2,162,2017,9,17,2,0.0,0,0,70.0,0.0,2
194,2,0.0,2,5,1,0,2,0,2018,1,10,1,,0,1,41.84,1.0,2
195,2,1.0,0,2,1,0,2,191,2018,8,23,1,0.0,0,0,130.5,1.0,1
196,2,0.0,1,0,3,0,2,35,2018,7,25,1,0.0,0,0,125.1,0.0,1
197,2,0.0,1,2,1,0,1,38,2018,5,13,1,0.0,0,0,140.4,,1
198,2,0.0,1,0,3,0,2,0,2018,5,29,1,0.0,0,0,99.0,0.0,2
199,1,0.0,0,2,1,0,2,192,2018,6,24,2,0.0,0,0,95.0,0.0,2
200,2,0.0,1,1,1,0,1,20,2018,4,9,1,0.0,0,0,139.0,0.0,1
201,2,,0,2,3,0,2,134,2018,8,10,1,0.0,0,0,103.5,0.0,1
202,2,0.0,2,2,3,0,2,126,2018,5,22,1,0.0,0,0,89.25,,1
203,2,0.0,2,3,1,0,2,303,2018,8,19,2,0.0,0,0,78.0,0.0,1
204,2,0.0,1,2,1,0,2,189,2018,10,28,1,0.0,0,0,96.3,4.0,2
205,2,0.0,2,2,1,0,1,85,2018,5,15,1,0.0,0,0,132.6,1.0,2
206,2,0.0,1,1,3,0,2,151,2018,8,13,1,,0,0,103.5,0.0,1
207,1,,0,3,2,0,2,13,2018,4,26,2,0.0,0,0,73.0,0.0,2
208,3,0.0,1,4,1,0,5,10,2018,8,22,1,0.0,0,0,160.16,1.0,2
209,2,,2,1,1,0,2,42,2018,10,2,1,0.0,0,0,97.02,1.0,2
210,3,0.0,0,5,1,0,1,144,2018,10,25,1,0.0,0,0,123.3,0.0,1
211,2,0.0,2,3,1,0,1,99,2018,5,6,1,0.0,0,0,134.16,2.0,2
212,2,0.0,1,2,1,0,2,418,2018,9,26,1,0.0,0,0,75.0,0.0,1
213,1,0.0,0,2,1,0,2,32,2017,11,20,2,,0,0,73.0,0.0,2
214,1,0.0,0,2,2,0,2,292,2018,7,21,2,0.0,0,0,90.0,0.0,2
215,1,,0,2,1,0,2,33,2018,3,8,2,0.0,0,0,62.2,0.0,2
216,2,,1,4,1,0,2,275,2018,10,5,1,0.0,0,0,90.0,0.0,1
217,2,1.0,1,1,1,0,2,10,2018,3,19,1,0.0,0,0,127.0,1.0,2
218,2,1.0,0,3,1,0,2,88,2018,5,11,1,0.0,0,0,143.1,2.0,2
219,1,0.0,2,4,1,0,2,69,2018,6,12,1,0.0,0,0,120.0,0.0,1
220,2,0.0,2,2,3,0,2,192,2018,12,4,1,0.0,0,0,72.75,2.0,2
221,1,0.0,0,2,1,0,2,8,2018,1,28,1,0.0,0,0,6.0,0.0,2
222,2,0.0,0,3,1,0,2,143,2018,8,25,2,0.0,0,0,100.0,0.0,2
223,2,0.0,0,3,3,0,2,124,2018,5,5,1,0.0,0,0,94.5,,1
224,2,0.0,0,4,1,0,1,181,2018,5,11,1,0.0,0,0,117.73,1.0,1
225,2,0.0,2,5,1,0,1,41,2018,4,22,1,0.0,0,0,87.09,1.0,2
226,2,0.0,0,2,3,0,2,46,2018,6,22,1,0.0,0,0,89.1,1.0,2
227,1,0.0,1,0,1,0,2,164,2018,10,16,1,0.0,0,0,115.0,0.0,1
228,2,0.0,1,1,1,0,2,51,2018,9,26,1,0.0,0,0,135.9,2.0,2
229,1,0.0,0,1,2,0,2,0,2018,8,25,2,0.0,0,0,90.0,0.0,2
230,2,0.0,0,3,1,0,2,328,2018,9,29,1,0.0,0,0,95.4,0.0,1
231,2,0.0,1,1,1,0,2,5,2018,6,18,1,0.0,0,0,141.0,1.0,2
232,2,,1,2,1,0,1,56,2018,5,2,1,0.0,0,0,140.4,0.0,1
233,2,2.0,2,3,1,0,3,85,2018,3,24,1,0.0,0,0,157.25,1.0,1
234,2,0.0,1,1,1,0,1,47,2018,6,4,1,,0,0,131.4,0.0,1
235,2,2.0,0,1,1,0,3,173,2018,7,8,1,0.0,0,0,168.3,2.0,1
236,2,1.0,2,2,1,0,2,60,2018,12,23,1,0.0,0,0,105.4,3.0,2
237,2,0.0,0,3,1,0,2,146,2017,12,29,2,0.0,0,0,75.0,0.0,2
238,2,0.0,0,5,1,0,2,5,2018,3,22,1,0.0,0,0,129.0,0.0,1
239,3,0.0,1,1,1,0,1,45,2018,3,19,1,0.0,0,0,131.4,1.0,1
240,1,,1,2,1,0,2,180,2018,10,10,2,0.0,0,0,120.0,0.0,1
241,2,0.0,1,1,1,0,1,60,2018,9,3,1,0.0,0,0,123.3,,1
242,2,0.0,1,2,1,0,1,39,2017,10,12,1,0.0,0,0,83.16,2.0,2
243,2,0.0,0,3,1,0,2,131,2018,8,3,2,0.0,0,0,87.03,3.0,2
244,2,0.0,0,2,1,0,2,48,2018,9,14,2,0.0,0,0,130.0,0.0,2
245,2,0.0,0,3,1,0,6,1,2018,5,5,2,0.0,0,0,119.0,0.0,2
246,3,0.0,0,1,1,0,1,7,2018,2,13,1,0.0,0,0,127.0,1.0,2
247,1,0.0,0,1,1,0,2,1,2017,8,6,1,0.0,0,0,89.0,0.0,1
248,2,0.0,1,2,1,0,1,23,2018,11,11,1,0.0,0,0,124.67,5.0,2
249,0,2.0,2,3,1,0,4,185,2018,8,25,1,0.0,0,0,84.82,0.0,1
250,1,0.0,0,3,1,0,2,8,2018,12,14,1,0.0,0,0,88.2,0.0,2
251,2,0.0,1,3,1,0,2,69,2018,3,28,1,0.0,0,0,82.45,,2
252,1,0.0,1,0,1,0,2,0,2018,3,21,3,1.0,0,13,65.0,1.0,2
253,2,0.0,2,1,1,0,2,11,2018,2,14,2,0.0,0,0,87.0,0.0,2
254,2,0.0,2,2,2,0,2,21,2018,6,12,1,0.0,0,0,156.5,1.0,2
255,1,0.0,2,1,1,0,2,4,2018,11,13,3,0.0,0,0,65.0,0.0,2
256,2,0.0,0,2,1,0,2,27,2017,9,30,2,0.0,0,0,108.0,,2
257,1,0.0,0,1,1,0,2,13,2018,6,23,1,0.0,0,0,95.0,1.0,2
258,3,0.0,1,2,1,0,2,88,2018,7,18,2,,0,0,96.9,1.0,2
259,2,1.0,1,1,1,1,2,27,2018,8,8,1,0.0,0,0,195.5,2.0,2
260,2,0.0,2,2,1,0,2,17,2018,9,25,1,0.0,0,0,135.0,1.0,2
261,3,0.0,0,1,1,0,1,42,2018,3,22,1,0.0,0,0,131.4,1.0,2
262,1,0.0,1,3,1,0,2,21,2018,2,29,1,0.0,0,0,102.05,0.0,1
263,2,0.0,0,1,1,0,2,54,2018,11,12,2,0.0,0,0,72.0,0.0,2
264,2,0.0,2,2,1,0,2,20,2018,11,13,1,0.0,0,0,90.65,1.0,2
265,2,0.0,2,0,3,0,2,34,2018,9,11,1,0.0,0,0,125.1,2.0,2
266,1,0.0,2,2,1,0,2,39,2017,10,18,1,0.0,0,0,94.5,2.0,2
267,1,0.0,0,1,1,0,2,0,2017,11,18,4,1.0,1,7,0.0,0.0,2
268,1,0.0,0,1,1,0,2,0,2018,7,20,3,0.0,0,0,79.0,0.0,2
269,1,0.0,2,1,2,0,2,23,2018,1,2,2,0.0,0,0,87.0,0.0,2
270,1,0.0,0,2,1,0,2,14,2017,10,15,2,0.0,0,0,100.0,0.0,2
271,2,0.0,2,5,1,0,2,156,2018,8,8,2,0.0,0,0,72.25,0.0,2
272,2,0.0,2,3,1,0,2,192,2017,9,25,2,0.0,0,0,102.0,0.0,1
273,2,0.0,1,2,1,0,2,198,2018,9,9,1,0.0,0,0,90.0,0.0,1
274,2,0.0,0,1,1,0,2,41,2018,12,27,2,,0,0,65.0,0.0,2
275,2,0.0,2,5,1,0,2,198,2018,9,27,1,0.0,0,0,112.56,1.0,1
276,2,,0,1,3,0,2,81,2018,8,16,1,0.0,0,0,125.1,2.0,2
277,2,0.0,1,2,1,0,2,122,2018,3,28,4,0.0,0,0,0.0,1.0,2
278,1,0.0,0,1,1,0,2,8,2018,3,8,3,0.0,0,0,80.0,0.0,2
279,2,0.0,1,2,1,0,2,133,2018,3,11,2,0.0,0,0,84.33,1.0,2
280,2,0.0,0,1,1,0,2,38,2017,10,13,2,,0,0,84.0,0.0,2
281,2,0.0,0,2,1,0,2,48,2018,11,4,1,0.0,0,0,97.2,2.0,2
282,3,0.0,1,2,1,0,2,191,2018,8,1,2,0.0,0,0,96.9,0.0,2
283,2,0.0,0,4,3,0,2,5,2018,6,29,1,0.0,0,0,134.0,0.0,1
284,2,,1,2,1,0,1,168,2018,7,18,1,0.0,0,0,112.8,1.0,1
285,1,0.0,2,0,1,0,2,23,2018,9,11,1,0.0,0,0,84.7,0.0,2
286,2,0.0,2,7,1,0,1,24,2018,4,28,2,0.0,0,0,107.0,0.0,2
287,3,0.0,1,1,2,1,1,100,2018,5,14,1,0.0,0,0,219.6,2.0,1
288,2,0.0,0,1,2,0,2,55,2018,4,6,2,0.0,0,0,104.0,,2
289,1,0.0,2,1,1,0,2,183,2018,7,16,1,0.0,0,0,90.9,,2
290,1,0.0,0,3,1,1,2,5,2018,4,5,5,1.0,0,1,101.0,0.0,2
291,2,,1,2,3,0,2,11,2018,4,29,1,0.0,0,0,122.33,0.0,1
292,2,0.0,0,2,2,0,2,257,2017,7,1,1,0.0,0,0,101.5,0.0,1
293,1,0.0,0,1,1,0,2,0,2017,10,1,3,0.0,0,0,109.0,1.0,2
294,3,,0,3,1,0,1,12,2018,7,7,1,0.0,0,0,182.33,2.0,2
295,2,0.0,1,2,1,0,1,38,2018,11,4,1,0.0,0,0,118.0,2.0,2
296,2,0.0,1,1,3,0,2,37,2018,2,27,1,0.0,0,0,69.3,1.0,1
